Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG.1,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados.1,Pases_intentados.2,Pases_progresivos,Pases_progresivos.1,Regates_exitosos,Regates_exitosos.1,Pases_medios_completados,Pases_largos_completados,xAG.2,xAG.3,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados.1,Pases_completados.2,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date,market_value
Anthony Jung,de GER,CB,33-118,"Saturday March 1, 2025",0,0,0.0,0.0,0.0,0.0,0,39,39,39,7,7,1,1,10,6,0.0,0.0,0.0,9,38,1,0,0,30,30,30,0,1,0,4,0,100.0,0,1,1,0,31,1,1,0,2,50.0,-,11.402561811276835
David Mokwa,fr FRA,FW,20-260,"Saturday January 18, 2025",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,0,0,0,2,0,,0,0,2,1,4,0,0,0,1,50.0,30.06.2029,1.4224112573806238
Lars Ritzka,de GER,WB,26-291,"Saturday February 22, 2025",0,0,0.0,0.0,0.0,0.0,1,27,27,27,2,2,0,0,9,2,0.0,0.0,0.1,1,18,9,0,1,20,20,20,0,2,0,4,0,,0,1,0,1,16,3,1,1,3,75.0,-,-3.194465578084639
Anthony Jung,de GER,CB,33-110,"Friday February 21, 2025",0,0,0.0,0.0,0.0,0.0,1,102,102,102,8,8,0,0,52,10,0.0,0.0,0.0,7,98,4,0,0,92,92,92,0,3,0,0,0,,0,0,0,0,90,1,1,0,3,60.0,-,13.692097145386851
Anthony Jung,de GER,CB,33-105,"Sunday February 16, 2025",0,0,0.0,0.0,0.0,0.0,1,79,79,79,7,7,1,1,43,7,0.0,0.0,0.0,8,75,4,0,0,68,68,68,0,3,0,1,0,100.0,0,0,0,0,65,0,0,0,3,100.0,-,17.19886110540279
Lars Ritzka,de GER,LM,26-298,"Saturday March 1, 2025",0,0,0.0,0.0,0.0,0.0,0,30,30,30,2,2,0,0,7,0,0.0,0.0,0.0,2,25,5,0,2,19,19,19,0,2,0,14,0,,0,0,1,0,17,5,2,2,1,100.0,-,9.429433393309786
Lars Ritzka,de GER,"LM,LB",26-284,"Saturday February 15, 2025",0,0,0.0,0.0,0.0,0.0,0,11,11,11,0,0,0,0,4,1,0.0,0.0,0.0,1,6,5,0,1,10,10,10,0,0,0,4,0,,0,0,0,0,4,0,0,1,0,0.0,-,9.146456657648903
Anthony Jung,de GER,CB,33-096,"Friday February 7, 2025",0,0,0.0,0.0,0.0,0.0,0,54,54,54,1,1,1,1,28,2,0.0,0.0,0.0,0,45,9,0,0,49,49,49,0,3,0,0,0,100.0,0,0,0,0,43,0,2,0,0,,-,-9.039072455995736
Anthony Jung,de GER,CB,33-146,"Saturday March 29, 2025",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,1,0,0.0,0.0,0.0,0,4,0,0,0,3,3,3,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,,-,-0.5097559915735097
Anthony Jung,de GER,CB,32-323,"Saturday September 21, 2024",0,0,0.0,0.0,0.0,0.0,0,54,54,54,3,3,0,0,26,5,0.0,0.0,0.0,1,43,11,0,0,49,49,49,0,7,0,2,0,,0,0,1,0,38,0,1,0,1,100.0,-,8.564876279116238
Lars Ritzka,de GER,CB,26-355,"Sunday April 27, 2025",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,,-,0.010412799879958357
Lars Ritzka,de GER,LW,26-115,"Friday August 30, 2024",0,0,0.0,0.0,0.0,0.0,1,46,46,46,1,1,0,0,14,1,0.0,0.0,0.0,2,38,8,0,0,33,33,33,0,2,0,11,2,0.0,1,0,0,1,34,7,0,0,0,0.0,-,13.797493706037327
Anthony Jung,de GER,CB,32-302,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,0,67,67,67,5,5,0,0,28,3,0.0,0.0,0.0,3,63,3,0,2,55,55,55,1,2,0,3,0,,0,2,1,0,51,0,1,2,2,100.0,-,-1.0509276600700943
Lars Ritzka,de GER,CB,26-334,"Sunday April 6, 2025",0,1,0.1,0.1,0.0,0.0,2,41,41,41,4,4,0,0,12,1,0.0,0.0,0.0,7,39,2,0,2,30,30,30,0,3,0,6,1,,0,1,1,0,27,2,1,2,0,0.0,-,12.63800525292603
Anthony Jung,de GER,CB,33-153,"Saturday April 5, 2025",0,0,0.0,0.0,0.0,0.0,0,8,8,8,0,0,0,0,5,0,0.0,0.0,0.0,0,7,1,0,0,6,6,6,0,1,0,0,0,0.0,0,0,1,0,4,0,0,0,0,0.0,-,-5.099930626896885
Almugera Kabar,de GER,WB,18-303,"Saturday April 5, 2025",0,0,0.0,0.0,0.4,0.4,1,7,7,7,1,1,0,0,3,0,0.4,0.4,0.3,1,6,1,0,1,6,6,6,0,1,0,5,0,,0,0,0,0,5,1,0,1,0,0.0,30.06.2028,30.285492095841757
Lars Ritzka,de GER,LM,26-326,"Saturday March 29, 2025",1,1,0.1,0.1,0.0,0.0,0,3,3,3,1,1,0,0,2,0,0.0,0.0,0.0,0,2,1,0,0,2,2,2,0,0,0,1,0,,0,1,0,0,2,0,0,0,0,,-,23.10090110865911
Lars Ritzka,de GER,WB,26-131,"Sunday September 15, 2024",0,0,0.0,0.0,0.0,0.0,0,14,14,14,1,1,0,0,4,0,0.0,0.0,0.0,0,11,3,0,0,9,9,9,0,2,0,4,0,,0,0,0,0,7,0,2,0,0,0.0,-,6.354360521457146
Anthony Jung,de GER,CB,33-132,"Saturday March 15, 2025",0,1,0.0,0.0,0.0,0.0,1,61,61,61,5,5,0,0,29,8,0.0,0.0,0.0,4,55,6,0,0,57,57,57,0,4,0,4,0,,0,2,1,0,46,0,0,0,1,50.0,-,13.35045765304864
